"","City","X","long","lat"
"510","Banner Elk",4,-81.833215,36.16377
"511","Banning",117,-116.896582905983,33.9228263247863
"512","Bannockburn",1,-87.86675,42.18554
"513","Bantam",6,-73.2523583333333,41.7188716666667
"514","Bar Harbor",5,-68.292052,44.404156
"515","Baraboo",60,-89.7707915,43.5411698333333
"516","Barberton",143,-81.6276655874126,41.0370305734266
"517","Barboursville",62,-80.8789914516129,38.3348387096774
"518","Barclay",10,-75.893214,39.140394
"519","Barco",3,-75.9686333333333,36.3683133333333
"520","Bardonia",1,-73.99385,41.11685
"521","Bardstown",5,-85.498158,37.794746
"522","Bargersville",1,-86.17007,39.52101
"523","Barhamsville",16,-76.835488125,37.462080625
"524","Baring",3,-121.4203,47.7342866666667
"525","Barker",10,-78.529619,43.339483
"526","Barkhamsted",21,-72.9885,41.9109719047619
"527","Barksdale AFB",31,-93.6311280645161,32.5384693548387
"528","Barnardsville",2,-82.48319,35.78247
"529","Barnegat",49,-74.2666397959184,39.7644175510204
"530","Barneston",1,-96.57678,40.04475
"531","Barnesville",86,-82.2494681744186,36.3787765697674
"532","Barnet",1,-72.03884,44.32027
"533","Barneveld",20,-75.1771365,43.2481685
"534","Barney",11,-83.5473754545454,30.9997209090909
"535","Barnhart",50,-90.4055318,38.346469
"536","Barnhill",2,-88.36725,38.26475
"537","Barnstable",6,-70.2922716666667,41.6988766666667
"538","Barnstead",3,-71.2858,43.32108
"539","Barnum",43,-92.6542704651163,46.5213746511628
"540","Barnwell",108,-81.3665960185185,33.2244918518519
"541","Barre",22,-72.1896486363636,42.7382286363636
"542","Barrett",6,-95.910305,45.900785
"543","Barrington",1247,-85.5886381635926,41.7603903929431
"544","Barron",6,-91.90473,45.4016733333333
"545","Barry",2,-91.03944,39.69902
"546","Barryville",4,-74.91383,41.47609
"547","Barstow",209,-116.838016267943,34.7677722009569
"548","Bartelso",1,-89.46676,38.53919
"549","Bartlett",1279,-88.1764051993745,41.9676564347146
"550","Barto",22,-75.5853872727273,40.3918536363636
"551","Barton",2,-88.254,43.4274
"552","Barton City",5,-83.652102,44.653986
"553","Bartonsville",9,-75.2774088888889,41.0035744444444
"554","Bartow",67,-81.8008698507463,28.3775732835821
